hispanic,white,black,native,multiple,CENSUS_TRACT,api,tract,state,county
108,1583,177,16,143,37019020206,104,020206,37,019
160,8253,66,15,237,37019020304,723,020304,37,019
79,2825,268,15,98,37019020305,351,020305,37,019
83,2242,146,7,71,37019020306,90,020306,37,019
9,243,10,0,4,37019020307,10,020307,37,019
30,1888,21,6,55,37019020308,110,020308,37,019
46,2204,139,13,54,37019020311,92,020311,37,019
69,852,103,2,57,37019020312,50,020312,37,019
38,2688,15,13,108,37019020313,62,020313,37,019
18,518,2,1,15,37019020314,00,020314,37,019
41,1747,19,5,69,37019020315,211,020315,37,019
10,619,1,1,18,37019020316,00,020316,37,019
197,2215,424,28,126,37019020404,71,020404,37,019
107,2708,168,30,130,37019020405,120,020405,37,019
21,855,5,2,32,37019020406,40,020406,37,019
87,1696,31,14,72,37019020407,82,020407,37,019
351,2131,241,18,123,37019020408,90,020408,37,019
103,2019,35,18,101,37019020409,61,020409,37,019
38,1838,108,8,22,37019020504,60,020504,37,019
430,2498,790,20,139,37019020505,192,020505,37,019
106,2742,93,12,58,37019020508,221,020508,37,019
135,2165,13,12,64,37019020510,120,020510,37,019
95,2307,41,19,84,37019020511,91,020511,37,019
19,1110,2,3,18,37019020512,95,020512,37,019
167,1148,145,22,52,37019020513,41,020513,37,019
126,2628,102,20,98,37019020514,271,020514,37,019
87,3150,222,7,82,37019020515,272,020515,37,019
137,4297,96,11,131,37019020516,340,020516,37,019
193,2168,47,23,65,37019020517,100,020517,37,019
229,2867,29,15,66,37019020518,221,020518,37,019
377,3239,817,34,192,37019020601,137,020601,37,019
342,4103,829,55,241,37019020602,121,020602,37,019
192,2207,758,13,118,37019020603,221,020603,37,019
0,0,0,0,0,37019990100,00,990100,37,019
51,1214,226,6,43,37021000100,140,000100,37,021
76,1074,529,5,121,37021000200,1838,000200,37,021
70,1643,346,8,84,37021000300,200,000300,37,021
296,3518,251,23,154,37021000400,996,000400,37,021
116,3333,90,5,125,37021000500,386,000500,37,021
105,1592,141,4,78,37021000600,280,000600,37,021
90,1123,332,0,62,37021000700,230,000700,37,021
165,2671,303,4,132,37021000800,3614,000800,37,021
156,1823,1336,10,141,37021000900,3025,000900,37,021
266,3467,480,9,287,37021001000,4824,001000,37,021
316,4103,341,9,257,37021001100,543,001100,37,021
449,4304,209,9,273,37021001200,903,001200,37,021
